Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
Pablo Fornals,MF,Real Betis,es La Liga,29.0,8000000,16566170.0,8566170.0,2.07077125
IsmaÃ«lo Ganiou,DF,Lens,fr Ligue 1,20.0,20000000,28541020.0,8541020.0,1.427051
Ransford KÃ¶nigsdÃ¶rffer,FW,Hamburger SV,de Bundesliga,23.0,5000000,13538978.0,8538978.0,2.7077956
Maxim De Cuyper,DF,Brighton,eng Premier League,24.0,22000000,30437844.0,8437844.0,1.3835383636363636
Julian Ryerson,MF,Dortmund,de Bundesliga,27.0,25000000,33425928.0,8425928.0,1.33703712
Pablo,MF,West Ham United,eng Premier League,21.0,18000000,26382036.0,8382036.0,1.4656686666666667
Zaid Romero,DF,Getafe,es La Liga,25.0,2500000,10865997.0,8365997.0,4.3463988
Tiago TomÃ¡s,MF,Stuttgart,de Bundesliga,23.0,15000000,23342268.0,8342268.0,1.5561512
Fabian Rieder,MF,Augsburg,de Bundesliga,23.0,12000000,20267740.0,8267740.0,1.6889783333333332
Andrija BulatoviÄ‡,MF,Lens,fr Ligue 1,18.0,8000000,16203974.0,8203974.0,2.02549675
Santiago MouriÃ±o,DF,Villarreal,es La Liga,23.0,20000000,28098588.0,8098588.0,1.4049294
Alejandro Garnacho,MF,Chelsea,eng Premier League,21.0,28000000,36024564.0,8024564.0,1.2865915714285714
Andrea Cambiaso,MF,Juventus,it Serie A,25.0,20000000,27969828.0,7969828.0,1.3984914
Rayan Fofana,FW,Lens,fr Ligue 1,19.0,8000000,15923176.0,7923176.0,1.990397
Nathan Collins,DF,Brentford,eng Premier League,24.0,30000000,37869604.0,7869604.0,1.2623201333333334
Maxence Caqueret,MF,Como,it Serie A,25.0,13000000,20812704.0,7812704.0,1.6009772307692307
Robert SÃ¡nchez,GK,Chelsea,eng Premier League,27.0,22000000,29757036.0,7757036.0,1.3525925454545455
Josha Vagnoman,DF,Stuttgart,de Bundesliga,24.0,10000000,17727372.0,7727372.0,1.7727372
Noah Cadiou,MF,Lorient,fr Ligue 1,26.0,3000000,10721291.0,7721291.0,3.573763666666667
Chemsdine Talbi,MF,Sunderland,eng Premier League,20.0,25000000,32664076.0,7664076.0,1.30656304
Ronald AraÃºjo,DF,Barcelona,es La Liga,26.0,20000000,27633848.0,7633848.0,1.3816924
Eliezer Mayenda,FW,Sunderland,eng Premier League,20.0,16000000,23598240.0,7598240.0,1.47489
Juan Foyth,DF,Villarreal,es La Liga,27.0,8000000,15590493.0,7590493.0,1.948811625
Kareem Tunde,MF,Levante,es La Liga,19.0,2000000,9328242.0,7328242.0,4.664121
Lewis Miley,MF,Newcastle United,eng Premier League,19.0,25000000,32315132.0,7315132.0,1.29260528
Bryan Mbeumo,MF,Manchester Utd,eng Premier League,25.0,75000000,82239420.0,7239424.0,1.0965256533333334
Timothy Weah,MF,Marseille,fr Ligue 1,25.0,20000000,27215440.0,7215440.0,1.360772
Frenkie de Jong,MF,Barcelona,es La Liga,28.0,35000000,42180572.0,7180572.0,1.2051592
Nico Oâ€™Reilly,DF,Manchester City,eng Premier League,20.0,70000000,77049590.0,7049592.0,1.1007084571428571
Philipp KÃ¶hn,GK,Monaco,fr Ligue 1,27.0,3500000,10532468.0,7032468.0,3.0092765714285714
Luis VÃ¡zquez,FW,Getafe,es La Liga,24.0,2500000,9521701.0,7021701.0,3.8086804
Marcus Edwards,MF,Burnley,eng Premier League,26.0,6000000,12976921.0,6976921.0,2.1628201666666667
ThÃ©o Le Bris,MF,Lorient,fr Ligue 1,22.0,5000000,11966991.0,6966991.0,2.3933982
James Justin,DF,Leeds United,eng Premier League,27.0,12000000,18950944.0,6950944.0,1.5792453333333334
Leo RomÃ¡n,GK,Mallorca,es La Liga,25.0,6000000,12912677.0,6912677.0,2.1521128333333333
Bertrand TraorÃ©,MF,Sunderland,eng Premier League,29.0,4000000,10899790.0,6899790.0,2.7249475
El Hadji Malick Diouf,DF,West Ham United,eng Premier League,20.0,28000000,34892636.0,6892636.0,1.2461655714285715
Joe Rodon,DF,Leeds United,eng Premier League,27.0,18000000,24885848.0,6885848.0,1.3825471111111112
Diogo Dalot,DF,Manchester Utd,eng Premier League,26.0,30000000,36872532.0,6872532.0,1.2290844
Marcus Thuram,FW,Inter,it Serie A,27.0,50000000,56858120.0,6858120.0,1.1371624
Ãngel PÃ©rez,MF,AlavÃ©s,es La Liga,22.0,3000000,9762945.0,6762945.0,3.254315
Afonso Moreira,MF,Lyon,fr Ligue 1,20.0,20000000,26729140.0,6729140.0,1.336457
Jesus RodrÃ­guez,MF,Como,it Serie A,19.0,30000000,36716244.0,6716244.0,1.2238748
Davide Bartesaghi,MF,Milan,it Serie A,19.0,22000000,28707320.0,6707320.0,1.3048781818181818
Nicolas PÃ©pÃ©,MF,Villarreal,es La Liga,30.0,6000000,12691479.0,6691479.0,2.1152465
JoaquÃ­n Panichelli,FW,Strasbourg,fr Ligue 1,22.0,35000000,41685576.0,6685576.0,1.1910164571428572
Marc Roca,MF,Real Betis,es La Liga,28.0,4000000,10643946.0,6643946.0,2.6609865
Omar Alderete,DF,Sunderland,eng Premier League,28.0,13000000,19640908.0,6640908.0,1.5108390769230768
Abdoul Ouattara,MF,Strasbourg,fr Ligue 1,19.0,15000000,21638320.0,6638320.0,1.4425546666666667
Ethan Ampadu,MF,Leeds United,eng Premier League,24.0,30000000,36606108.0,6606108.0,1.2202036
Gennaro Borrelli,FW,Cagliari,it Serie A,25.0,3000000,9434403.0,6434403.0,3.144801
Kristoffer Ajer,DF,Brentford,eng Premier League,27.0,18000000,24433716.0,6433716.0,1.3574286666666666
Lorenz Assignon,DF,Stuttgart,de Bundesliga,25.0,9000000,15425326.0,6425326.0,1.7139251111111111
Max FinkgrÃ¤fe,DF,RB Leipzig,de Bundesliga,21.0,5000000,11415672.0,6415672.0,2.2831344
FÃ¡bio Silva,FW,Dortmund,de Bundesliga,23.0,22000000,28368864.0,6368864.0,1.289493818181818
Donyell Malen,FW,Roma,it Serie A,26.0,45000000,51358504.0,6358504.0,1.141300088888889
Adam Armstrong,FW,Wolves,eng Premier League,28.0,6000000,12326463.0,6326463.0,2.0544105
Matteo Gabbia,DF,Milan,it Serie A,25.0,17000000,23309612.0,6309612.0,1.3711536470588235
Warmed Omari,DF,Hamburger SV,de Bundesliga,25.0,4000000,10257838.0,6257838.0,2.5644595
Carlos Augusto,MF,Inter,it Serie A,26.0,23000000,29219636.0,6219636.0,1.2704189565217392
MÃ«rgim Vojvoda,MF,Como,it Serie A,30.0,2500000,8719116.0,6219116.0,3.4876464
Noah Okafor,FW,Leeds United,eng Premier League,25.0,25000000,31201288.0,6201288.0,1.24805152
Largie Ramazani,MF,Valencia,es La Liga,24.0,8000000,13963264.0,5963264.0,1.745408
Guela DouÃ©,DF,Strasbourg,fr Ligue 1,22.0,20000000,25951132.0,5951132.0,1.2975566
Nidal Celik,DF,Lens,fr Ligue 1,19.0,7000000,12900590.0,5900590.0,1.8429414285714285
Lloyd Kelly,DF,Juventus,it Serie A,26.0,23000000,28889408.0,5889408.0,1.2560612173913044
Ilaix Moriba,MF,Celta Vigo,es La Liga,22.0,15000000,20843056.0,5843056.0,1.3895370666666667
Lyle Foster,FW,Burnley,eng Premier League,24.0,8000000,13794403.0,5794403.0,1.724300375
Lucas Beraldo,DF,Paris Saint-Germain,fr Ligue 1,21.0,22000000,27791256.0,5791256.0,1.263238909090909
Joris Chotard,MF,Brest,fr Ligue 1,23.0,7000000,12771274.0,5771274.0,1.8244677142857142
Nikola Å tuliÄ‡,FW,Lecce,it Serie A,23.0,3500000,9262113.0,5762113.0,2.646318
Emersonn,FW,Toulouse,fr Ligue 1,21.0,8000000,13758588.0,5758588.0,1.7198235
Ãlvaro NÃºÃ±ez,DF,Elche,es La Liga,25.0,4000000,9750123.0,5750123.0,2.43753075
Matias Fernandez-Pardo,FW,Lille,fr Ligue 1,20.0,35000000,40740284.0,5740284.0,1.1640081142857144
Toma BaÅ¡iÄ‡,MF,Lazio,it Serie A,28.0,3000000,8709077.0,5709077.0,2.9030256666666667
Willem Geubbels,FW,Paris FC,fr Ligue 1,23.0,5000000,10701902.0,5701902.0,2.1403804
Han-Noah Massengo,MF,Augsburg,de Bundesliga,24.0,8000000,13689900.0,5689900.0,1.7112375
Quentin Merlin,DF,Rennes,fr Ligue 1,23.0,15000000,20683852.0,5683852.0,1.3789234666666668
Viktor GyÃ¶keres,FW,Arsenal,eng Premier League,27.0,65000000,70672590.0,5672592.0,1.0872706461538462
Daichi Kamada,MF,Crystal Palace,eng Premier League,28.0,10000000,15652408.0,5652408.0,1.5652408
Kiernan Dewsbury-Hall,MF,Everton,eng Premier League,26.0,35000000,40582384.0,5582384.0,1.1594966857142857
Abdoulaye Faye,DF,Lorient,fr Ligue 1,20.0,4500000,10081465.0,5581465.0,2.2403255555555557
Gabriel Gudmundsson,DF,Leeds United,eng Premier League,26.0,20000000,25563032.0,5563032.0,1.2781516
Wesley SaÃ¯d,MF,Lens,fr Ligue 1,30.0,5000000,10556744.0,5556744.0,2.1113488
Sergi Cardona,DF,Villarreal,es La Liga,26.0,9000000,14457541.0,5457541.0,1.6063934444444445
Weston McKennie,MF,Juventus,it Serie A,26.0,30000000,35443064.0,5443064.0,1.1814354666666667
Ibrahim DiabatÃ©,FW,AlavÃ©s,es La Liga,25.0,1500000,6921268.0,5421268.0,4.614178666666667
